region,region_name,year,holiday_name,date,start_time,public_service_flag,regional_holiday_flag,holiday_comment
ACT,Australian Capital Territory,2024,New Year's Day,2024-01-01,00:00,"","",""
ACT,Australian Capital Territory,2024,Australia Day,2024-01-26,00:00,"","",""
ACT,Australian Capital Territory,2024,Canberra Day,2024-03-11,00:00,"","",""
ACT,Australian Capital Territory,2024,Good Friday,2024-03-29,00:00,"","",""
ACT,Australian Capital Territory,2024,Easter Saturday – the day after Good Friday,2024-03-30,00:00,"","",""
ACT,Australian Capital Territory,2024,Easter Sunday,2024-03-31,00:00,"","",""
ACT,Australian Capital Territory,2024,Easter Monday,2024-04-01,00:00,"","",""
ACT,Australian Capital Territory,2024,Anzac Day,2024-04-25,00:00,"","",""
ACT,Australian Capital Territory,2024,Reconciliation Day,2024-05-27,00:00,"","",""
ACT,Australian Capital Territory,2024,King’s Birthday,2024-06-10,00:00,"","",""
ACT,Australian Capital Territory,2024,Labour Day,2024-10-07,00:00,"","",""
ACT,Australian Capital Territory,2024,Christmas Day,2024-12-25,00:00,"","",""
ACT,Australian Capital Territory,2024,Boxing Day,2024-12-26,00:00,"","",""
NSW,New South Wales,2024,New Year's Day,2024-01-01,00:00,"","",""
NSW,New South Wales,2024,Australia Day,2024-01-26,00:00,"","",""
NSW,New South Wales,2024,Good Friday,2024-03-29,00:00,"","",""
NSW,New South Wales,2024,Easter Saturday,2024-03-30,00:00,"","",""
NSW,New South Wales,2024,Easter Sunday,2024-03-31,00:00,"","",""
NSW,New South Wales,2024,Easter Monday,2024-04-01,00:00,"","",""
NSW,New South Wales,2024,Anzac Day,2024-04-25,00:00,"","",""
NSW,New South Wales,2024,King's Birthday,2024-06-10,00:00,"","",""
NSW,New South Wales,2024,Labour Day,2024-10-07,00:00,"","",""
NSW,New South Wales,2024,Christmas Day,2024-12-25,00:00,"","",""
NSW,New South Wales,2024,Boxing Day,2024-12-26,00:00,"","",""
NT,Northern Territory,2024,New Year's Day,2024-01-01,00:00,"","",""
NT,Northern Territory,2024,Australia Day,2024-01-26,00:00,"","",""
NT,Northern Territory,2024,Good Friday,2024-03-29,00:00,"","",""
NT,Northern Territory,2024,Easter Saturday,2024-03-30,00:00,"","",""
NT,Northern Territory,2024,Easter Sunday,2024-03-31,00:00,"","",""
NT,Northern Territory,2024,Easter Monday,2024-04-01,00:00,"","",""
NT,Northern Territory,2024,Anzac Day,2024-04-25,00:00,"","",""
NT,Northern Territory,2024,May Day,2024-05-06,00:00,"","",""
NT,Northern Territory,2024,King's Birthday,2024-06-10,00:00,"","",""
NT,Northern Territory,2024,Picnic Day,2024-08-05,00:00,"","",""
NT,Northern Territory,2024,Christmas Eve,2024-12-24,19:00,"","",from 7pm to midnight
NT,Northern Territory,2024,Christmas Day,2024-12-25,00:00,"","",""
NT,Northern Territory,2024,Boxing Day,2024-12-26,00:00,"","",""
NT,Northern Territory,2024,New Year's Eve,2024-12-31,19:00,"","",from 7pm to midnight
QLD,Queensland,2024,New Year's Day,2024-01-01,00:00,"","",""
QLD,Queensland,2024,Australia Day,2024-01-26,00:00,"","",""
QLD,Queensland,2024,Good Friday,2024-03-29,00:00,"","",""
QLD,Queensland,2024,The day after Good Friday,2024-03-30,00:00,"","",""
QLD,Queensland,2024,Easter Sunday,2024-03-31,00:00,"","",""
QLD,Queensland,2024,Easter Monday,2024-04-01,00:00,"","",""
QLD,Queensland,2024,Anzac Day,2024-04-25,00:00,"","",""
QLD,Queensland,2024,Labour Day,2024-05-06,00:00,"","",""
QLD,Queensland,2024,Royal Queensland Show,2024-08-14,00:00,"",Y,Brisbane area only
QLD,Queensland,2024,King’s Birthday,2024-10-07,00:00,"","",""
QLD,Queensland,2024,Christmas Eve,2024-12-24,18:00,"","",from 6pm to midnight
QLD,Queensland,2024,Christmas Day,2024-12-25,00:00,"","",""
QLD,Queensland,2024,Boxing Day,2024-12-26,00:00,"","",""
SA,South Australia,2024,New Year's Day,2024-01-01,00:00,"","",""
SA,South Australia,2024,Australia Day,2024-01-26,00:00,"","",""
SA,South Australia,2024,Adelaide Cup Day,2024-03-11,00:00,"","",""
SA,South Australia,2024,Good Friday,2024-03-29,00:00,"","",""
SA,South Australia,2024,Easter Saturday,2024-03-30,00:00,"","",""
SA,South Australia,2024,Easter Sunday,2024-03-31,00:00,"","",""
SA,South Australia,2024,Easter Monday,2024-04-01,00:00,"","",""
SA,South Australia,2024,Anzac Day,2024-04-25,00:00,"","",""
SA,South Australia,2024,King's Birthday,2024-06-10,00:00,"","",""
SA,South Australia,2024,Labour Day,2024-10-07,00:00,"","",""
SA,South Australia,2024,Christmas Eve,2024-12-24,19:00,"","",from 7pm to midnight
SA,South Australia,2024,Christmas Day,2024-12-25,00:00,"","",""
SA,South Australia,2024,Proclamation Day public holiday / Boxing Day,2024-12-26,00:00,"","",""
SA,South Australia,2024,New Year's Eve,2024-12-31,19:00,"","",from 7pm to midnight
TAS,Tasmania,2024,New Year's Day,2024-01-01,00:00,"","",""
TAS,Tasmania,2024,Australia Day,2024-01-26,00:00,"","",""
TAS,Tasmania,2024,Royal Hobart Regatta,2024-02-12,00:00,"",Y,only observed in certain areas of the state
TAS,Tasmania,2024,Eight Hours Day,2024-03-11,00:00,"","",""
TAS,Tasmania,2024,Good Friday,2024-03-29,00:00,"","",""
TAS,Tasmania,2024,Easter Monday,2024-04-01,00:00,"","",""
TAS,Tasmania,2024,Easter Tuesday,2024-04-02,00:00,Y,"",generally Tasmanian Public Service only
TAS,Tasmania,2024,Anzac Day,2024-04-25,00:00,"","",""
TAS,Tasmania,2024,King's Birthday,2024-06-10,00:00,"","",""
TAS,Tasmania,2024,Recreation Day,2024-11-04,00:00,"",Y,areas of the state that don’t observe Royal Hobart Regatta
